,,Sprint Goal,"Memperbaiki inkonsistensi UI/UX & bug autentikasi (Google logo, OTP), memperluas dataset makanan, menambah fitur Rekomendasi/Favorit makanan, serta melengkapi manajemen profil (foto profil, validasi input, edit goal).",,,,,,
ID,ROLE,Backlog Item,User Pain / Gains,Details,Eksekutor,Core / Peripheral,Status,Impact,Effort
1,UI/UX,Redesign tombol Google Sign-In (perjelas warna & label teks),"User bingung karena tombol Google tidak jelas tampilannya, sehingga ragu untuk menekan.","Update desain tombol Google Sign-In di Figma sesuai brand guideline resmi Google: warna putih/biru, ikon G berwarna, teks 'Masuk dengan Google' yang terbaca jelas.",ERIK,Peripheral,ONGOING,Medium,Low
2,Frontend,Implementasi tombol Google Sign-In ,"User bingung karena tombol Google tidak jelas tampilannya, sehingga ragu untuk menekan.","Slicing ulang komponen tombol Google Sign-In sesuai desain Figma yang diperbarui. Pastikan warna, ikon, dan label tampil konsisten di halaman Login & Register.",HAMAS,Peripheral,DONE,Medium,Low
3,UI/UX,Audit & standardisasi konsistensi bahasa (Bahasa Indonesia) di seluruh halaman,"User menemukan campuran Bahasa Indonesia dan Inggris di berbagai halaman, terasa tidak profesional.","Lakukan audit seluruh teks UI di Figma: label tombol, placeholder, pesan error, tooltip. Standardisasi ke Bahasa Indonesia yang konsisten sesuai target pengguna mahasiswa Indonesia.",TARA,Peripheral,ONGOING,Medium,Low
4,Frontend,Implementasi perbaikan teks & konsistensi bahasa di seluruh kode aplikasi,Ketidakkonsistenan bahasa membingungkan user dan menurunkan kesan profesional aplikasi.,"Update semua string teks di kode Frontend sesuai hasil audit bahasa dari tim UI/UX. Cakupan: halaman Auth, Home, Dashboard, Jurnal Makanan, Profil, dan menu navigasi.",RIZQI,Peripheral,REJECTED,Medium,Low
5,Backend,Setup Verifikasi Email: logic pengiriman & verifikasi kode via email saat Register,Registrasi tanpa verifikasi email membuat akun mudah disalahgunakan dan tidak aman.,Buat endpoint POST /auth/send-otp dan POST /auth/verify-otp. Generate kode OTP 6 digit dengan expiry 5 menit. Kirim via email (SMTP/SendGrid). Simpan hash OTP di database.,ADIT,Core,ONGOING,High,High
6,Frontend,Buat halaman input Verifikasi Email & integrasi dengan API verifikasi,User tidak bisa memverifikasi akun karena belum ada halaman input OTP di aplikasi.,"Buat halaman OTP Verification: 6 input box angka, countdown timer resend (60 detik), tombol Verifikasi. Integrasikan dengan endpoint /auth/verify-otp, tangani state error/success/expired.",FARID,Core,DONE,High,Medium
7,UI/UX,Redesign Home: hapus section profil & ganti dropdown menu dengan halaman Help Information,Section profil di Home memenuhi ruang dan dropdown menu kurang informatif bagi user baru.,"Redesain halaman Home di Figma: hapus card profil dari area utama, ganti dropdown menu navigasi dengan halaman dedicated Help & Information berisi panduan singkat fitur Nutrify.",ERIK,Peripheral,ONGOING,Medium,Medium
8,Frontend,Implementasi perubahan Home: hapus profil & routing dropdown ke halaman Help Information,Tampilan Home saat ini menampilkan profil yang tidak relevan dan dropdown menu membingungkan.,"Update kode halaman Home: hapus widget profil user, buat halaman Help Information baru berisi FAQ singkat & panduan fitur, routing dropdown lama ke halaman baru tersebut.",RIZQI,Peripheral,REJECTED,Medium,Medium
9,Backend,"Deduplikasi & perluasan dataset makanan (hapus duplikat, tambah 200+ variasi makanan lokal)",User tidak menemukan makanan yang dicari karena dataset terlalu sedikit dan ada data duplikat.,"Jalankan script deduplication pada tabel Food Dataset. Tambahkan minimal 200 data makanan lokal Indonesia (khas daerah, jajanan, minuman). Validasi kelengkapan kolom: kalori, protein, karbo, lemak.",IBNU,Core,ONGOING,High,High
10,Backend,Membuat API rekomendasi & logika favorit makanan berdasarkan riwayat konsumsi user,"User harus selalu mencari manual makanan yang sering dikonsumsi, tanpa shortcut atau rekomendasi.",Buat endpoint GET /food/recommendations (berdasarkan makanan paling sering dilog) dan POST/DELETE /food/favorites untuk simpan & hapus favorit. Simpan data di tabel user_favorites.,IBNU,Core,ONGOING,High,High
11,UI/UX,Merancang UI/UX fitur Rekomendasi & Favorit di halaman pencarian/jurnal makanan,"Halaman pencarian makanan terasa kosong dan tidak personal, user harus mengetik ulang makanan yang sama setiap hari.","Desain section 'Makanan Favoritmu' dan 'Sering Dikonsumsi' di halaman Jurnal/Pencarian. Tambahkan ikon heart/bintang untuk tandai favorit, chip rekomendasi yang bisa langsung diklik.",TARA,Core,ONGOING,High,High
12,Frontend,Slicing halaman Rekomendasi & Favorit di menu pencarian makanan,User menghabiskan waktu lama mencari makanan yang sama berulang kali tanpa ada shortcut.,Implementasi komponen card Rekomendasi dan Favorit di halaman pencarian makanan. Integrasi dengan API /food/recommendations dan /food/favorites. Toggle ikon favorit (heart) pada setiap item makanan.,HAMAS,Core,ONGOING,High,High
13,Backend,Membuat API upload & update foto profil user,User tidak bisa mempersonalisasi profil karena foto profil terkunci dan tidak bisa diganti.,"Buat endpoint PUT /profile/photo untuk upload gambar (JPG/PNG, max 2MB). Simpan file di cloud storage (Firebase Storage/S3) dan update URL foto di tabel Profile. Tambahkan validasi tipe & ukuran file.",ADIT,Peripheral,ONGOING,Medium,Medium
14,Frontend,"Implementasi fitur ganti foto profil (image picker, preview & upload)",Foto profil statis membuat user merasa aplikasi tidak personal dan kurang engaging.,"Tambahkan tombol edit foto di halaman Profil. Implementasi image picker dari galeri/kamera, preview sebelum upload, loading state saat proses simpan. Integrasikan dengan API PUT /profile/photo.",RIZQI,Peripheral,REJECTED,Medium,Medium
15,UI/UX,Change Goal dihapus menu profil,Dropdown aktivitas tidak konsisten antar halaman dan fitur Change Goal yang terpisah membingungkan user.,"Desain komponen dropdown aktivitas standar (Sedentary, Lightly/Moderately/Very/Super Active). Hapus halaman Change Goal terpisah, pindahkan pilihan goal (Cutting/Maintenance/Bulking) ke Edit Profile.",ERIK,Core,ONGOING,High,Medium
