No,Role,Backlog,Core / Peripheral,Status,Keterangan
1,Backend," Membuat Schema Database (User, Profile, Food Dataset, Tracking)",Core,TODO,"Membuat rancangan tabel (ERD) dan migrasi database untuk menyimpan data pengguna, makanan, dan catatan harian."
2,Backend," Setup Authentication (Login & Register dengan nama, email, password)",Core,TODO,Membuat endpoint API (misal dengan JWT) agar pengguna bisa mendaftar akun baru dan masuk ke aplikasi.
3,UI/UX," Merancang user flow, wireframe, dan UI page Splashscreen, Onboarding, Login, Register",Peripheral,TODO,"Mendesain tampilan di Figma untuk layar pembuka aplikasi, info singkat (onboarding), dan form login/register."
,UI/UX,Wawancara/Interview (User Research),Core,TODO,
4,Frontend," Slicing page Splashscreen, Onboarding, Login, Register",Peripheral,TODO,Mengubah desain Figma (poin 3) menjadi kode UI (misal: Flutter/React Native/Kotlin) yang bisa di-klik.
5,Backend, Membuat bisnis logic perhitungan BMI dan TDEE berdasarkan Usia & Aktivitas,Core,TODO,Membuat rumus/fungsi di server untuk otomatis menghitung batas kalori harian saat pengguna baru mengisi profil.
6,UI/UX," Merancang UI/UX page Setup Profile & Target (Cutting, Maintenance, Bulking)",Peripheral,TODO,"Mendesain form untuk mengisi berat badan, tinggi badan, usia, dan pilihan target diet pengguna."
7,Frontend, Slicing page Setup Profile & Target,Peripheral,TODO,Mengoding tampilan UI form profil dan pilihan target sesuai desain Figma.
8,Backend," Membuat Schema Table untuk riwayat makan berdasarkan waktu (Pagi, Siang, Malam, Cemilan)",Core,TODO,Membuat struktur database khusus untuk memisahkan catatan makan per sesi/waktu.
9,Backend," Setup & Integrasi Dataset Kalori Makanan (Kalori, Protein, Karbohidrat, Gula)",Core,TODO,Memasukkan data nilai gizi berbagai jenis makanan ke database atau menyambungkan aplikasi dengan API pihak ketiga.
10,Backend, Membuat API/Logic kalkulasi akumulasi kalori & makronutrisi harian,Core,TODO,Membuat endpoint yang menjumlahkan total kalori dan gizi dari semua makanan yang diinput pengguna dalam sehari.
