,,Sprint Goal,"Memperbaiki bug kritis (Google Sign-In bypass, dark mode, performa web), menyeragamkan identitas visual Mobile & Web, serta menghadirkan 3 fitur inti baru: Grafik Progress Nutrisi, AI Chatbot Rekomendasi Menu & Olahraga, dan Streak & Achievement.",,,,,,
ID,ROLE,Backlog Item,User Pain / Gains,Details,Eksekutor,Core / Peripheral,Status,Impact,Effort
1,Backend,Fix bug Google Sign-In bypass: close dialog → langsung masuk tanpa login,"Bug kritis: user bisa melewati autentikasi hanya dengan menutup popup Google, menimbulkan risiko keamanan serius.",Audit flow Google OAuth: pastikan callback hanya diterima setelah token valid. Tambahkan validasi status autentikasi sebelum redirect ke halaman utama. Blokir akses ke route protected jika session belum ter-set.,IBNU,Core,TODO,High,High
2,Frontend,Fix session persistency: akun logout tiba-tiba saat layar HP mati / sleep,"User kehilangan sesi login secara tiba-tiba saat HP masuk mode sleep, memaksa mereka login ulang berulang kali.",Implementasi persistent session storage (misal: secure shared_preferences / encrypted storage). Konfigurasi refresh token otomatis sebelum expired. Tes skenario: HP sleep 30 menit → buka kembali → sesi tetap aktif.,FARID v2,Core,REJECTED,High,Medium
3,Frontend,Fix dark mode: semua elemen teks & background tidak berubah konsisten saat mode gelap aktif,"Di dark mode, banyak teks putih di atas background putih (tidak terbaca) dan beberapa section tetap dalam light mode.","Audit seluruh halaman dalam dark mode. Buat theme token (warna teks, background, card, border) yang di-apply secara global. Prioritas fix: Hero section, halaman FAQ, halaman rekomendasi, dan navbar.",RIZQI,Core,REJECTED,High,Medium
4,Frontend,"Optimasi performa web di mobile: lazy load aset, nonaktifkan animasi berat untuk layar kecil","Web terasa berat dan lag parah di HP, khususnya saat scroll di Hero section dan halaman mockup.","Terapkan lazy loading untuk semua gambar & animasi. Gunakan IntersectionObserver untuk trigger animasi hanya saat elemen terlihat. Tambahkan media query prefers-reduced-motion. Kompres aset (WebP, minify JS/CSS). Target: LCP < 3s di mobile.",RIZQI,Core,REJECTED,High,High
5,Frontend,Audit & sinkronisasi color palette: selaraskan identitas visual Mobile (oranye-ungu) dan Web (hijau),"Perbedaan warna drastis antara Mobile (oranye/ungu) dan Web (hijau) membuat user merasa ini dua produk berbeda, melemahkan brand Nutrify.","Definisikan 1 sistem warna brand Nutrify: primary, secondary, accent, neutral. Buat design token di Figma. Update seluruh komponen Mobile & Web menggunakan token yang sama. Dokumentasikan di design system.",RIZQI,Core,REJECTED,High,High
6,Backend,"Bersihkan & perkaya dataset makanan: hapus item tidak relevan, perbaiki nama ambigu","User menemukan makanan aneh di daftar (bumbu nasgor, nasi gemuk, royco, dll) yang merusak kredibilitas data kalori.","Jalankan script audit dataset: identifikasi & hapus item non-makanan (bumbu masak, dll). Standardisasi nama (hilangkan typo, singkatan aneh). Tambahkan 100+ makanan lokal Indonesia yang sering dikonsumsi mahasiswa. Validasi nilai kalori & makro.",IBNU,Core,TODO,High,Medium
7,Frontend,Perbaiki UX Jurnal Makanan: tampilkan makanan populer/favorit sebagai default tanpa perlu search,"Halaman tambah makanan tampak kosong dan tidak ada petunjuk, user bingung harus apa sebelum mengetik sesuatu.","Tampilkan 3 section default di halaman tambah makanan: 'Terakhir Dimakan', 'Favoritmu', dan 'Makanan Populer'. Load data dari API rekomendasi & favorit yang sudah ada. Fallback: tampilkan 10 makanan umum jika belum ada riwayat.",FARID v2,Core,REJECTED,High,Medium
8,Frontend,"Fix bug fitur Rekomendasi: pastikan rekomendasi muncul, relevan, dan tidak error",Fitur rekomendasi yang sudah dibangun di Sprint 2 masih bug sehingga tidak memberikan nilai nyata ke user.,"Debug endpoint /food/recommendations di kondisi: user baru (riwayat kosong), user lama (ada riwayat). Fix render issue di UI (nama teks terhimpit, ikon tidak align). Tambahkan empty state informatif jika belum ada rekomendasi.",FARID v2,Core,REJECTED,High,Medium
9,Frontend,"Fix bug fitur Komunitas: like berfungsi, komentar tampil, upload gambar berjalan","Fitur komunitas tidak berfungsi: like tidak terekam, komentar tidak muncul, upload gambar gagal — membuat fitur menjadi tidak berguna.","Debug dan fix: (1) API like/unlike post, (2) query & render komentar real-time, (3) upload gambar ke cloud storage & preview di post. Tambahkan content filter dasar untuk mencegah upload konten tidak relevan.",FARID v2,Core,REJECTED,High,Medium
